@RELATION codesnippets

@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  {text, code}

@DATA

0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,4,0.25,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,5,0.4,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,1,0,text
0,0,0,0,0,0,0,0,text
0,0,0,0.070707071,0.003929273,0,99,0.636363636,text
1,0,0,0.5,0,0,2,0,text
0,0,0.052631579,0.052631579,0,0,19,0.473684211,text
0,0,0,0.333333333,0,0,3,0,text
0,0,0,0,0,0,0,0,text
0,0,0.25,0.5,0.071428571,0,4,0,code
0,0,0,0,0.333333333,0,0,0,code
0,0,0,0.5,0.111111111,0.055555556,2,0,code
0,0,0,1,0.071428571,0,1,0,code
0,0,0,1,0,0,1,0,code
0,0,0,0,0.1,0,0,0,code
0,0,0.25,0,0.075,0.025,4,0,code
0,0,0.5,0,0.103448276,0,2,0,code
0,0,0,1,0.0625,0,1,0,code
0,0,0,0,0.1,0,0,0,code
0,0,0,0,0.25,0,0,0,code
0,0,0,0,0,0,0,0,text
0,0,0,0.052631579,0,0.00877193,19,0.473684211,text
0,0,0,0.333333333,0,0.04,3,0,text
0,0,0,0,0,0,0,0,text
0,0,0.25,0.5,0.071428571,0,4,0,code
0,0,0,0,0.333333333,0,0,0,code
0,0,0,0.5,0.111111111,0.055555556,2,0,code
0,0,0,1,0.071428571,0,1,0,code
0,0,0,1,0,0,1,0,code
0,0,0,0,0.1,0,0,0,code
0,0,0.2,0,0.063829787,0.021276596,5,0,code
0,0,0.5,0,0.103448276,0,2,0,code
0,0,0.25,0,0.075,0.025,4,0,code
0,0,0,1,0.0625,0,1,0,code
0,0,0,0,0.1,0,0,0,code
0,0,0,0,0.25,0,0,0,code
0,0,0,0,0,0,0,0,text
0,0,0,0.071428571,0,0.012658228,14,0.571428571,text
0,0,0,0.0625,0,0.003802281,48,0.5625,text
0,0,0,0,0,0,7,0.571428571,text
0,0,0,0,0,0,0,0,text
0,0,0,0.214285714,0,0,14,0.5,text
0,0,0,0.035714286,0,0,28,0.464285714,text
0,0,0,0,0,0,12,0.583333333,text
0,0,0,0,0,0,0,0,text
0,0,0,0,0,0,70,0.585714286,text
0,0,0,0.176470588,0.027624309,0,68,0.426470588,text
0,0,0,0,0,0,1,0,text
0.090909091,0,0,0.08,0.013333333,0.001666667,100,0.52,text
0.2,0,0,0.066666667,0,0.063063063,15,0.4,text
0,0,0,0.111111111,0,0.058823529,9,0.555555556,text
0,0,0,0.045977011,0,0.010460251,87,0.563218391,text
0,0,0,0,0,0,6,0.166666667,text
0,0,0,0,0,0,0,0,text
0,0,0.25,0.5,0.066666667,0,4,0,code
0,0,0,0,0.333333333,0,0,0,code
0,0,0,0.5,0.105263158,0.052631579,2,0,code
0,0,0,1,0.0625,0,1,0,code
0,0,0,1,0,0,1,0,code
0,0,0,0,0.1,0,0,0,code
0,0,0.25,0.25,0.104166667,0.020833333,4,0,code
0,0,0,0,0.1,0,0,0,code
0,0,0,0,0.25,0,0,0,code
0,0,0,0,0,0,0,0,text
0,0,0.006329114,0.082278481,0.002306805,0.005767013,158,0.563291139,text
0,0,0,0.2,0,0.028985507,10,0.3,text
0,0,0,0.058823529,0,0.010869565,17,0.529411765,text
0,0,0,0.111111111,0,0.016129032,9,0.222222222,text
0.045454545,0,0,0.00729927,0.009237875,0.002309469,137,0.489051095,text
0.153846154,0,0.017857143,0,0,0.003030303,56,0.535714286,text
0.037037037,0,0,0.009615385,0.003034901,0.001517451,104,0.528846154,text
0,0,0,0,0,0,3,0.333333333,text
0.5,0,0,0,0,0,0,0,text
0,0,0,0.02,0.006968641,0,50,0.5,text
0.5,0,0,0,0,0,11,0.636363636,text
0,0,0,0.111111111,0,0.018518519,18,0.5,text
0,0,0,0.049382716,0,0,81,0.666666667,text
0,0,0,0.052631579,0.018518519,0.009259259,19,0.473684211,text
0,0,0,0,0,0.05,3,0.666666667,text
0,0,0,0.064516129,0,0,31,0.419354839,text
0,0,0,0,0.041666667,0.020833333,9,0.444444444,text
0,0,0,0.069444444,0.014319809,0,72,0.361111111,text
0,0,0,0,0,0,2,0,text
0.5,0,0,0,0,0,0,0,text
0,0,0,0.050632911,0.0041841,0,79,0.518987342,text
0.166666667,0,0,0.041666667,0,0,48,0.520833333,text
0,0,0,0.019230769,0.006116208,0,52,0.576923077,text
0,0,0,0.08,0,0,50,0.52,text
0,0,0,0.181818182,0,0.01754386,11,0.363636364,text
3.6875,0,0.28,0.44,0.086956522,0.010033445,25,0,code
0,0,0.055555556,0.111111111,0.008174387,0.002724796,54,0.462962963,text
