@RELATION codesnippets

@ATTRIBUTE length		NUMERIC
@ATTRIBUTE indentation	NUMERIC
@ATTRIBUTE comments	NUMERIC
@ATTRIBUTE nondic		NUMERIC
@ATTRIBUTE keywords	NUMERIC
@ATTRIBUTE separator	NUMERIC
@ATTRIBUTE operator	NUMERIC
@ATTRIBUTE numofwords	NUMERIC
@ATTRIBUTE stopwords	NUMERIC
@ATTRIBUTE class  	{text, code}

@DATA

404,0.052631579,0,2,6,4,1,61,25,text
388,4.375,5,11,18,7,10,48,10,code
1512,3.675675676,0,1,42,0,0,220,101,text
470,4.583333333,2,0,12,19,10,55,19,code
403,0,0,0,8,0,0,67,33,text
434,1.333333333,2,0,10,26,9,55,21,code
1176,0.205882353,0,1,15,4,4,184,86,text
12,0,0,1,1,0,1,2,0,code
371,0.666666667,0,2,4,0,0,51,16,text
17644,0.050909091,0,149,121,19,96,2843,1181,text
85,0,0,8,0,0,2,14,0,text
1126,0,0,12,14,2,14,199,92,text
111,3.2,0,7,0,5,14,18,0,text
376,1.230769231,0,6,3,0,5,66,31,text
38,0,0,2,0,0,6,6,0,text
42,8,0,2,0,0,1,7,3,text
29,0,0,3,0,0,1,3,0,text
676,3.625,0,9,3,0,4,111,43,text
35,0,0,1,0,1,1,7,0,text
42,8,0,2,0,0,1,7,3,text
33,0,0,3,0,1,0,5,0,text
1307,0.432432432,0,14,6,0,7,224,99,text
122,1.111111111,0,3,4,11,1,13,0,code
556,0.066666667,0,3,3,0,1,92,46,text
33,0,0,1,0,2,0,5,0,code
1069,0.076923077,0,6,11,0,8,173,79,text
16,0,0,1,1,0,0,2,0,code
4282,0.02173913,1,13,45,13,6,724,364,text
221,2.4,2,3,5,11,0,28,5,code
157,0,0,1,1,0,1,24,11,text
332,3.285714286,3,3,5,15,1,42,13,code
1393,0,0,5,9,6,2,245,118,text
220,2.545454545,2,3,5,16,0,27,4,code
3195,0.032786885,0,15,25,16,8,534,267,text
264,3.230769231,2,4,6,21,1,31,4,code
290,0,0,3,3,4,0,46,22,text
27,0,0,1,1,5,1,4,0,code
2603,0,0,10,27,15,21,458,227,text
355,3.875,2,6,7,29,3,41,7,code
432,0,0,2,8,0,1,78,39,text
335,3.875,2,5,7,26,1,38,7,code
354,0,0,3,3,0,0,59,28,text
7,0,0,0,2,0,0,2,0,code
181,0.166666667,0,0,2,0,1,31,15,text
1364,6.270833333,2,22,15,139,6,142,10,code
527,0,0,1,4,2,1,86,35,text
20,0,0,0,0,0,1,4,3,text
65,0,0,0,2,0,0,11,6,text
110,0.666666667,0,4,1,13,8,12,3,code
629,0,0,0,5,0,1,108,57,text
7,0,0,0,2,0,0,2,0,code
384,0,0,0,2,0,2,63,29,text
81,1,0,0,2,2,0,14,7,text
319,0,0,0,6,4,1,61,34,text
8,0,0,0,2,0,0,2,0,text
625,0.076923077,0,1,10,0,1,109,52,text
358,3.882352941,2,4,7,30,4,44,4,code
4247,0.009708738,0,8,43,9,23,711,334,text
253,0.842105263,0,6,8,22,1,27,0,code
2235,0,0,9,23,3,0,370,193,text
614,1.666666667,8,11,9,32,11,72,8,code
444,0,0,4,3,0,0,70,35,text
9,0,0,1,0,0,1,2,0,text
292,0,0,0,3,0,0,49,23,text
18,0,0,1,0,3,2,3,0,code
