Page	Chunk	Length	IndentationRatio	Comments	Non-Dic	Non-DicRatio	Keywords	KeywordRatio	Separators	SeparatorRatio	Operators	OperatorRatio	NumberWords	StopWords	StopWordRatio	StopWordRatioLength	Score	StopWordSTD	ScoreSTD	Classification	GoldOutcome
PRE0005	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	2	21	0	0	0	0	0	0	0	0	1	0.047619048	3	0	0	0	0.014285714	-0.402997285	-0.420791056	 text	0
PRE0005	3	13	0.142857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000549	-0.402997285	-0.716086482	 text	0
PRE0005	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	10	6	0	0	1	1	0	0	1	0.166666667	1	0.166666667	1	0	0	0	0.116666667	-0.402997285	1.780144189	 text	0
PRE0005	11	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	12	14	0	0	0	0	0	0	0	0	0	0	2	1	0.5	0.071428571	0	1.370251945	-0.727898299	 text	0
PRE0005	13	19	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	14	6	0	0	1	1	0	0	1	0.166666667	1	0.166666667	1	0	0	0	0.116666667	-0.402997285	1.780144189	 text	0
PRE0005	15	33	0	0	0	0	0	0	0	0	0	0	6	1	0.166666667	0.03030303	0	0.349290267	-0.727898299	 text	0
PRE0005	16	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.402997285	-0.727898299	 text	0
PRE0005	17	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	18	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	-0.402997285	1.421852405	 text	0
PRE0005	19	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	20	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	-0.402997285	1.421852405	 text	0
PRE0005	21	8	10.66666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066666667	-0.402997285	0.705268837	 text	0
PRE0005	22	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	-0.402997285	1.851802545	 text	0
PRE0005	23	6	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133333333	-0.402997285	2.138435973	 text	0
PRE0005	24	7	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142857143	-0.402997285	2.343174135	 text	0
PRE0005	25	6	0	0	1	1	0	0	1	0.166666667	1	0.166666667	1	0	0	0	0.116666667	-0.402997285	1.780144189	 text	0
