 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
1,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
10,0.4,0,0,0,0,0,0,0,0,0.002,-0.483072537,-0.292294113, text
4,1,0,0,0,0,0,0,0,0,0.0125,-0.483072537,0.321327449, text
4,1,0,0,0,0,0,0,0,0,0.0125,-0.483072537,0.321327449, text
4,1,0,0,0,0,0,0,0,0,0.0125,-0.483072537,0.321327449, text
33,0,0,0,1,0,1,4,0,0,0.009090909,-0.483072537,0.122099669, text
4,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
10,0,0,0,0,0,0,2,0,0,0,-0.483072537,-0.409174411, text
27,0,0,0,1,0,0,3,0,0,0,-0.483072537,-0.409174411, text
10,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
68,0,0,0,1,0,1,11,5,0.073529412,0.004411765,0.673448717,-0.151350225, text
4,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
4,0,0,0,0,0,0,1,1,0.25,0,3.449099728,-0.409174411, text
2,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
131,0.333333333,0,0,1,2,0,23,12,0.091603053,0.003562341,0.957723407,-0.200990675, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
86,0.5,0,0,0,1,0,13,6,0.069767442,0.002906977,0.614277863,-0.239290257, text
4,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, text
16,0,0,1,1,1,0,3,1,0.0625,0.025,0.499970529,1.051829309, text
5,0.333333333,0,0,0,0,0,0,0,0,0.003333333,-0.483072537,-0.214373915, text
14,0,0,0,0,0,0,2,0,0,0,-0.483072537,-0.409174411, text
4,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
6,0,0,0,0,0,0,1,0,0,0,-0.483072537,-0.409174411, text
2,0,0,0,0,0,0,0,0,0,0,-0.483072537,-0.409174411, text
6,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, code
2,1,0,0,0,1,0,0,0,0,0.1375,-0.483072537,7.62634605, code
4,0,0,1,0,0,0,1,0,0,0.04375,-0.483072537,2.1475821, code
7,1,0,0,0,2,0,0,0,0,0.071428571,-0.483072537,3.765121933, code
4,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, code
14,4.5,0,1,0,0,1,1,0,0,0.05,-0.483072537,2.51283303, code
10,0,0,0,0,0,0,1,0,0,0,-0.483072537,-0.409174411, code
36,4.5,1,2,2,0,1,5,1,0.027777778,0.03125,-0.046164508,1.417080239, code
5,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, code
5,1,0,0,0,1,0,0,0,0,0.055,-0.483072537,2.805033774, code
4,0,0,0,1,0,0,1,0,0,0,-0.483072537,-0.409174411, code
15,4.5,0,1,0,0,1,1,0,0,0.046666667,-0.483072537,2.318032534, code
