Page	Chunk	Length	IndentationRatio	Comments	Non-Dic	Non-DicRatio	Keywords	KeywordRatio	Separators	SeparatorRatio	Operators	OperatorRatio	NumberWords	StopWords	StopWordRatio	StopWordRatioLength	ScoreSTD	StopWordSTD	Score	Classification	GoldOutcome
PRE0005	1	6350	10.58802178	0	73	0.108469539	21	0.031203566	11	0.001732283	29	0.004566929	673	171	0.254086181	0.026929134	0.003855024	-0.272446133	-0.831412582	text	0
PRE0005	2	24	0	0	2	1	0	0	3	0.125	0	0	2	0	0	0	0.042708333	-0.985422716	0.575065824	code	1
PRE0005	3	104	4	0	0	0	1	0.058823529	2	0.019230769	1	0.009615385	17	9	0.529411765	0.086538462	0.009134615	1.305772277	-0.640292916	text	0
PRE0005	4	11	0	0	1	0.5	1	0.5	3	0.272727273	0	0	2	0	0	0	0.077272727	-0.985422716	1.826286744	code	1
PRE0005	5	110	5	0	1	0.055555556	2	0.111111111	0	0	1	0.009090909	18	8	0.444444444	0.072727273	0.006590909	0.940106813	-0.732374337	text	0
PRE0005	6	15	0	0	0	0	0	0	3	0.2	0	0	2	0	0	0	0.045	-0.985422716	0.658023485	code	1
PRE0005	7	232	8	0	0	0	0	0	2	0.00862069	2	0.00862069	38	21	0.552631579	0.090517241	0.00625	1.411114576	-0.744715146	text	0
PRE0005	8	41	0	1	1	0.166666667	1	0.166666667	3	0.073170732	0	0	6	2	0.333333333	0.048780488	0.026829268	0.306090993	0.000248	code	1
PRE0005	9	125	4.571428571	0	1	0.055555556	1	0.055555556	0	0	0	0	18	5	0.277777778	0.04	0.003228571	0.073618525	-0.854089974	text	0
PRE0005	10	32	0	0	2	0.4	3	0.6	6	0.1875	1	0.03125	5	0	0	0	0.0625	-0.985422716	1.291518351	code	1
PRE0005	11	150	6.222222222	0	1	0.05	1	0.05	0	0	0	0	20	8	0.4	0.053333333	0.003240741	0.426632272	-0.853649449	text	0
PRE0005	12	57	0	0	2	0.25	4	0.5	7	0.122807018	2	0.035087719	8	0	0	0	0.044298246	-0.985422716	0.632620182	code	1
PRE0005	13	59	4.571428571	0	0	0	0	0	0	0	0	0	8	6	0.75	0.101694915	0.003874092	1.707055016	-0.830722318	text	0
PRE0005	14	31	0	0	0	0	1	0.25	5	0.161290323	1	0.032258065	4	0	0	0	0.045967742	-0.985422716	0.693055459	code	1
PRE0005	15	320	6.095238095	0	0	0	1	0.020833333	2	0.00625	1	0.003125	48	24	0.5	0.075	0.003296131	1.000279611	-0.851644339	text	0
PRE0005	16	53	0	0	3	0.375	5	0.625	9	0.169811321	2	0.037735849	8	0	0	0	0.059433962	-0.985422716	1.180528685	code	1
PRE0005	17	238	8	0	1	0.027777778	2	0.055555556	0	0	1	0.004201681	36	17	0.472222222	0.071428571	0.003676471	0.905722358	-0.837876156	text	0
PRE0005	18	47	0	0	0	0	0	0	5	0.106382979	1	0.021276596	5	0	0	0	0.030319149	-0.985422716	0.126580984	code	1
PRE0005	19	15	1.142857143	0	0	0	0	0	0	0	0	0	1	1	1	0.066666667	0.003809524	0.779646019	-0.833059668	text	0
PRE0005	20	59	0	0	0	0	1	0.142857143	7	0.118644068	1	0.016949153	7	0	0	0	0.031779661	-0.985422716	0.179451093	code	1
PRE0005	21	104	7	0	0	0	1	0.083333333	0	0	0	0	12	5	0.416666667	0.048076923	0.003365385	0.287463391	-0.849137377	text	0
PRE0005	22	46	0	0	1	0.25	3	0.75	7	0.152173913	1	0.02173913	4	0	0	0	0.044565217	-0.985422716	0.642284482	code	1
PRE0005	23	200	7.2	0	0	0	4	0.117647059	0	0	1	0.005	34	17	0.5	0.085	0.0033	1.265039922	-0.851504281	text	0
PRE0005	24	67	0	0	0	0	1	0.125	8	0.119402985	1	0.014925373	8	0	0	0	0.031343284	-0.985422716	0.163654358	code	1
PRE0005	25	57	1.6	0	0	0	1	0.142857143	0	0	1	0.01754386	7	3	0.428571429	0.052631579	0.006666667	0.408052601	-0.729631935	text	0
PRE0005	26	126	1.6	0	0	0	3	0.1875	12	0.095238095	1	0.007936508	16	3	0.1875	0.023809524	0.024444444	-0.355041025	-0.086081595	code	1
PRE0005	27	244	7.272727273	0	0	0	0	0	0	0	0	0	35	17	0.485714286	0.069672131	0.001490313	0.85921879	-0.91701442	text	0
PRE0005	28	31	0	0	0	0	1	0.25	5	0.161290323	1	0.032258065	4	0	0	0	0.045967742	-0.985422716	0.693055459	code	1
PRE0005	29	57	4.571428571	0	0	0	0	0	0	0	0	0	7	5	0.714285714	0.087719298	0.004010025	1.337036146	-0.825801582	text	0
PRE0005	30	56	0	0	0	0	0	0	9	0.160714286	3	0.053571429	6	0	0	0	0.052232143	-0.985422716	0.919824935	code	1
PRE0005	31	67	4.571428571	0	0	0	1	0.1	0	0	1	0.014925373	10	5	0.5	0.074626866	0.007889126	0.990400495	-0.685379273	text	0
PRE0005	32	60	0	0	1	0.090909091	2	0.181818182	10	0.166666667	3	0.05	11	0	0	0	0.055416667	-0.985422716	1.035103763	code	1
PRE0005	33	84	4.571428571	0	0	0	0	0	0	0	1	0.011904762	11	5	0.454545455	0.05952381	0.006292517	0.590531512	-0.743176043	text	0
PRE0005	34	71	0	0	1	0.076923077	2	0.153846154	10	0.14084507	3	0.042253521	13	0	0	0	0.046830986	-0.985422716	0.724304638	code	1
PRE0005	35	257	8	0	1	0.022222222	2	0.044444444	0	0	1	0.003891051	45	22	0.488888889	0.085603113	0.003404669	1.281007956	-0.847715284	text	0
