 Length,Indentation,Comments,Non-Dic,Keywords,Separators,Operators,Number of words,StopWords,Stop Word Ratio,Score,STD StopWord,STD Score ,
6350,10.58802178,0,73,21,11,29,673,171,0.026929134,0.003855024,-0.272446133,-0.831412582,text
24,0,0,2,0,3,0,2,0,0,0.042708333,-0.985422716,0.575065824,code
104,4,0,0,1,2,1,17,9,0.086538462,0.009134615,1.305772277,-0.640292916,text
11,0,0,1,1,3,0,2,0,0,0.077272727,-0.985422716,1.826286744,code
110,5,0,1,2,0,1,18,8,0.072727273,0.006590909,0.940106813,-0.732374337,text
15,0,0,0,0,3,0,2,0,0,0.045,-0.985422716,0.658023485,code
232,8,0,0,0,2,2,38,21,0.090517241,0.00625,1.411114576,-0.744715146,text
41,0,1,1,1,3,0,6,2,0.048780488,0.026829268,0.306090993,2.48E-04,code
125,4.571428571,0,1,1,0,0,18,5,0.04,0.003228571,0.073618525,-0.854089974,text
32,0,0,2,3,6,1,5,0,0,0.0625,-0.985422716,1.291518351,code
150,6.222222222,0,1,1,0,0,20,8,0.053333333,0.003240741,0.426632272,-0.853649449,text
57,0,0,2,4,7,2,8,0,0,0.044298246,-0.985422716,0.632620182,code
59,4.571428571,0,0,0,0,0,8,6,0.101694915,0.003874092,1.707055016,-0.830722318,text
31,0,0,0,1,5,1,4,0,0,0.045967742,-0.985422716,0.693055459,code
320,6.095238095,0,0,1,2,1,48,24,0.075,0.003296131,1.000279611,-0.851644339,text
53,0,0,3,5,9,2,8,0,0,0.059433962,-0.985422716,1.180528685,code
238,8,0,1,2,0,1,36,17,0.071428571,0.003676471,0.905722358,-0.837876156,text
47,0,0,0,0,5,1,5,0,0,0.030319149,-0.985422716,0.126580984,code
15,1.142857143,0,0,0,0,0,1,1,0.066666667,0.003809524,0.779646019,-0.833059668,text
59,0,0,0,1,7,1,7,0,0,0.031779661,-0.985422716,0.179451093,code
104,7,0,0,1,0,0,12,5,0.048076923,0.003365385,0.287463391,-0.849137377,text
46,0,0,1,3,7,1,4,0,0,0.044565217,-0.985422716,0.642284482,code
200,7.2,0,0,4,0,1,34,17,0.085,0.0033,1.265039922,-0.851504281,text
67,0,0,0,1,8,1,8,0,0,0.031343284,-0.985422716,0.163654358,code
57,1.6,0,0,1,0,1,7,3,0.052631579,0.006666667,0.408052601,-0.729631935,text
126,1.6,0,0,3,12,1,16,3,0.023809524,0.024444444,-0.355041025,-0.086081595,code
244,7.272727273,0,0,0,0,0,35,17,0.069672131,0.001490313,0.85921879,-0.91701442,text
31,0,0,0,1,5,1,4,0,0,0.045967742,-0.985422716,0.693055459,code
57,4.571428571,0,0,0,0,0,7,5,0.087719298,0.004010025,1.337036146,-0.825801582,text
56,0,0,0,0,9,3,6,0,0,0.052232143,-0.985422716,0.919824935,code
67,4.571428571,0,0,1,0,1,10,5,0.074626866,0.007889126,0.990400495,-0.685379273,text
60,0,0,1,2,10,3,11,0,0,0.055416667,-0.985422716,1.035103763,code
84,4.571428571,0,0,0,0,1,11,5,0.05952381,0.006292517,0.590531512,-0.743176043,text
71,0,0,1,2,10,3,13,0,0,0.046830986,-0.985422716,0.724304638,code
257,8,0,1,2,0,1,45,22,0.085603113,0.003404669,1.281007956,-0.847715284,text
65,0,0,1,2,12,2,8,0,0,0.053461538,-0.985422716,0.964328695,code
239,7.333333333,0,1,2,2,3,38,16,0.066945607,0.007914923,0.787031244,-0.684445412,text
548,1.619047619,1,11,17,65,16,71,3,0.005474453,0.039563782,-0.840480941,0.461233978,code
225,3.333333333,0,1,2,0,3,36,17,0.075555556,0.005518519,1.014988517,-0.771194561,text
349,1.5,0,6,11,45,7,41,0,0,0.038252149,-0.985422716,0.413753259,code
324,7.466666667,0,2,1,4,1,53,26,0.080246914,0.005936214,1.139197058,-0.756074108,text
204,0,0,2,2,29,7,21,0,0,0.043995098,-0.985422716,0.621646329,code
332,9.333333333,0,1,3,2,1,57,32,0.096385542,0.004191767,1.566483889,-0.819222574,text
95,1.5,0,5,6,2,0,14,0,0,0.014736842,-0.985422716,-0.437493952,code
58,1.142857143,0,1,0,0,3,7,0,0,0.019519704,-0.985422716,-0.264355739,text
427,2.166666667,1,16,11,34,5,53,6,0.014051522,0.028825137,-0.613394177,0.072498176,code
183,12.36363636,0,5,0,0,0,25,11,0.06010929,0.008159463,0.606032701,-0.675593128,text
54,0,0,4,0,3,0,6,0,0,0.025462963,-0.985422716,-0.049211524,code
301,24.88888889,0,6,1,0,0,47,25,0.083056478,0.007622739,1.213583184,-0.695022396,text
71,3,0,5,0,3,0,8,0,0,0.023943662,-0.985422716,-0.104209774,code
1370,13.01694915,0,7,7,3,11,202,91,0.066423358,0.004270692,0.773204163,-0.816365531,text
349,1.5,0,6,11,45,7,41,0,0,0.038252149,-0.985422716,0.413753259,code
1330,10.61904762,0,2,5,6,4,208,106,0.079699248,0.002579663,1.12469705,-0.877580253,text
