,ML,,,,,,, PreML,,,,,,, PreStdS,,,,,,, Stds,,,,,,, Pre,,,,,,
,Text,,,Code,,,,Text,,,Code,,,,Text,,,Code,,,,Text,,,Code,,,,Text,,,Code,,,
,recall,precision,f1,recall,precision,f1,Accuracy,recall,precision,f1,recall,precision,f1,Accuracy,recall,precision,f1,recall,precision,f1,Accuracy,recall,precision,f1,recall,precision,f1,Accuracy,recall,precision,f1,recall,precision,f1,Accuracy
HandGeneratedFiles/AllWeb/24325-code.html,1.0,0.99122804,0.9955947,0.98,1.0,0.989899,0.993865,0.0,1.0,0.0,1.0,0.30674848,0.46948358,0.30674848,1.0,0.69325155,0.81884056,0.0,1.0,0.0,0.69325155,0.42477876,0.7741935,0.54857147,1.0,0.4587156,0.6289308,0.601227,1.0,0.69325155,0.81884056,0.0,1.0,0.0,0.69325155
HandGeneratedFiles/AllWeb/Auto-login-Page.htm,0.96153843,0.97402596,0.9677419,1.0,0.75,0.85714287,0.96428573,1.0,0.9285714,0.9629629,0.0,1.0,0.0,0.9285714,1.0,0.9285714,0.9629629,0.0,1.0,0.0,0.9285714,0.21794872,0.73913044,0.33663365,1.0,0.092307694,0.1690141,0.27380952,1.0,0.9285714,0.9629629,0.0,1.0,0.0,0.9285714
HandGeneratedFiles/AllWeb/ava-bounding-box.html,0.98373985,1.0,0.9918033,1.0,0.9916318,0.99579835,0.99444443,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.37398374,0.76666665,0.5027323,1.0,0.7694805,0.8697248,0.7861111,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HandGeneratedFiles/AllWeb/BouncingBall.jspa.htm,1.0,0.99390244,0.9969419,0.75,1.0,0.85714287,0.994012,1.0,0.7180617,0.83589745,1.0,1.0,1.0,1.0,1.0,0.7180617,0.83589745,1.0,1.0,1.0,1.0,0.70552146,0.93495935,0.8041958,0.75,0.06382979,0.11764707,0.70658684,1.0,0.7180617,0.83589745,1.0,1.0,1.0,1.0
HandGeneratedFiles/AllWeb/Calendar.php.htm,0.9785408,0.9956332,0.9870129,1.0,0.90909094,0.95238096,0.981685,1.0,0.59438777,0.7456,1.0,1.0,1.0,1.0,1.0,0.59438777,0.7456,1.0,1.0,1.0,1.0,0.25751072,0.7692308,0.38585207,1.0,0.19607843,0.32786885,0.36630037,1.0,0.59438777,0.7456,1.0,1.0,1.0,1.0
HandGeneratedFiles/AllWeb/export-chinese-character-excel-using.htm,0.9714286,0.98550725,0.9784172,0.9411765,0.8888889,0.9142857,0.9655172,1.0,0.8045977,0.89171976,0.0,1.0,0.0,0.8045977,1.0,0.8045977,0.89171976,0.0,1.0,0.0,0.8045977,0.37142858,0.8125,0.5098039,1.0,0.29310346,0.45333335,0.49425286,1.0,0.8045977,0.89171976,0.0,1.0,0.0,0.8045977
HandGeneratedFiles/AllWeb/getx-gety-return-same-value.html,0.97979796,0.99657536,0.9881155,1.0,0.61538464,0.76190484,0.98032784,1.0,0.99331105,0.9966443,0.75,1.0,0.85714287,0.9934426,1.0,0.99331105,0.9966443,0.75,1.0,0.85714287,0.9934426,0.64983165,0.92788464,0.76435643,1.0,0.07619048,0.14159292,0.6590164,1.0,0.99331105,0.9966443,0.75,1.0,0.85714287,0.9934426
HandGeneratedFiles/AllWeb/JavaNet.jspa.htm,1.0,0.50259066,0.6689655,0.15517241,0.4864865,0.23529412,0.5399061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83505154,0.6532258,0.7330317,0.67241377,0.6964286,0.68421054,0.74647886,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HandGeneratedFiles/AllWeb/showthread.php.htm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3402367,0.7278481,0.46370968,1.0,0.0,0.0,0.3402367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HandGeneratedFiles/AllWeb/Website.jspa.htm,0.98834497,0.93186814,0.95927596,0.2820513,0.4074074,0.3333333,0.92948717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82983685,0.9468085,0.884472,0.71794873,0.26923078,0.39160842,0.82051283,1.0,1.0,1.0,1.0,1.0,1.0,1.0
